"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"Again, And Also, Or";"また";"別れを告げ、それから又数年が過ぎた。";"They said their goodbyes, and another few years passed.";"N3";"又";"又: 9"
"Again, And Also, Or";"また";"この書類は、必ず黒のペン又はボールペンで記入してください。";"This form must be filled out with a black pen or ballpoint pen.";"N3";"又";"又: 9"
"Again, And Also, Or";"また";"「僕又来ますね 」と言って、猫はそそくさと帰って行った。";"""I'll be back,"" he said, and the cat hurried off.";"N3";"又";"又: 9"
"Excuse Me, Hello";"もうしもうし";"申し申し、花子どのではありませぬか？";"Excuse me, are you Hanako?";"None";"申し申し";"申: 3, 申: 3"
"Evil Breeds Evil, Evil Begets Evil";"あくいんあっか";"悪因悪果って言うだろ？当然のむくいだよ。";"They say ""evil begets evil"" right? So they just got properly punished.";"None";"悪因悪果";"悪: 3, 因: 5, 悪: 3, 果: 4"
"Evil Breeds Evil, Evil Begets Evil";"あくいんあっか";"悪いことをしたら、悪因悪果で後々ひどい目にあうよ。";"If you do something bad, you'll get in trouble later because evil breeds evil.";"None";"悪因悪果";"悪: 3, 因: 5, 悪: 3, 果: 4"
"Evil Breeds Evil, Evil Begets Evil";"あくいんあっか";"聖書には、業について何て書いてあるんだっけ？悪因悪果とかだっけか？";"What does the Bible say about karma? Was it like ""evil begets evil"" or something?";"None";"悪因悪果";"悪: 3, 因: 5, 悪: 3, 果: 4"
"Public Notice, Public Announcement";"こうこく";"トーフグの決算公告、もう見ましたか。";"Did you already see Tofugu's public, financial announcement?";"None";"公告";"公: 2, 告: 4"
"Public Notice, Public Announcement";"こうこく";"トーフグは、日本政府の官報にコウイチについての重大な公告をのせることにしました。";"Tofugu decided to put up an important public notice about Koichi in an official telegram.";"None";"公告";"公: 2, 告: 4"
"Public Notice, Public Announcement";"こうこく";"日本には、電子公告規則という法律がありますが、あなたの国はどうですか？";"There is a law in Japan called the Electronic Public Notice Regulation. Do you have anything like that in your country?";"None";"公告";"公: 2, 告: 4"
"Remainder, Residual";"ざんよ";"倒産後、残余財産が残れば分配されます。";"After bankruptcy, any remaining assets will be distributed.";"None";"残余";"残: 4, 余: 5"
"Remainder, Residual";"ざんよ";"「残余リスクについてもちゃんと議論したんですか？」「まだです。みんな残余リスクの計算式を忘れてしまって、議論にならないんです。」";"""Have you guys discussed the residual risks, too?"" ""Not yet. We all forgot the formula to calculate residual risk, so we can't have the discussion.""";"None";"残余";"残: 4, 余: 5"
"Remainder, Residual";"ざんよ";"今月の差額残余額は現時点でいくらになっていますか。";"What is the this month’s remaining balance as of now?";"None";"残余";"残: 4, 余: 5"
"Vividly Depicted, Clearly Expressed";"やくじょ";"そいつにチャンピオンの面目躍如たるところを見せつけてやれ！";"Show him what kind of champion you are!";"None";"躍如";"躍: 9, 如: 9"
"Riding A Horse, Mounted, Equestrian";"きば";"運動会の騎馬戦の練習があるので、明日は早起きしなくてはいけません。";"I have to wake up early tomorrow morning to practice for the athletic meet’s mock cavalry battle.";"None";"騎馬";"騎: 9, 馬: 2"
