"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"Long Ago, For a Long Time";"ひさしい";"わたしがベーコンをたべなくなって久しい。";"It’s been long since I stopped eating bacon.";"N1";"久しい";"久: 5"
"Long Ago, For a Long Time";"ひさしい";"へいわボケして久しい日本人には、おそらくりかいできないだろう。";"Japanese people have taken peace for granted for so long that they probably can't understand it anymore.";"N1";"久しい";"久: 5"
"Long Ago, For a Long Time";"ひさしい";"かれが生のきんぎょをたべてしんでから久しい。";"He ate a raw goldfish and has been dead for a long time now.";"N1";"久しい";"久: 5"
"Long Time No See, It's Been A While";"ひさしぶり";"久しぶりですね！";"Long time no see!";"N4";"久しぶり";"久: 5"
"Long Time No See, It's Been A While";"ひさしぶり";"久しぶりのビールは、なみだが出るほどおいしかった。";"Beer after being sober for so long was so good it brought me to tears.";"N4";"久しぶり";"久: 5"
"Long Time No See, It's Been A While";"ひさしぶり";"久しぶり！とあったことのない人にいわれた。";"I was told ""long time no see"" by a person that I had never met before.";"N4";"久しぶり";"久: 5"
"Release From Prison, Source, Origin";"しゅっしょ, でどころ";"ジェニーの出所はいつですか？";"When will Jenny be released from prison?";"None";"出所";"出: 1, 所: 3"
"Release From Prison, Source, Origin";"しゅっしょ, でどころ";"出所したら、ちゃんと貸しを返してくれよな。";"When you get out of the prison, please return the favor, okay?";"None";"出所";"出: 1, 所: 3"
"Release From Prison, Source, Origin";"しゅっしょ, でどころ";"引用部分の出所を明示してください。";"Please present the source of the quoted section.";"None";"出所";"出: 1, 所: 3"
"To Calculate";"さんていする";"所得税額を算定するための計算式を知っていますか。";"Do you know the equation to calculate your income tax?";"None";"算定する";"算: 2, 定: 3"
"To Calculate";"さんていする";"ユーザーの増減を予測して収益変動リスクを算定するAIアプリを作りました。";"We have created an AI application that predicts increases and decreases in users and calculates the risk of revenue fluctuations.";"None";"算定する";"算: 2, 定: 3"
"To Calculate";"さんていする";"このプログラムは、該当ユーザーに選択されたバナー広告の掲示数に応じて、広告費用を算定するんだ。";"This program calculates the advertising cost corresponding to the number of times a banner advertisement is selected by the user.";"None";"算定する";"算: 2, 定: 3"
"Bad Example, Bad Precedent";"あくれい";"日本語を学ぶ時には、いい例だけでなく、悪例を学ぶことも必要です。";"When learning Japanese, it is necessary to learn from good examples as well as bad examples.";"None";"悪例";"悪: 3, 例: 4"
"Bad Example, Bad Precedent";"あくれい";"コウイチは悪例のかたまりだ。";"Koichi is a cluster of bad examples.";"None";"悪例";"悪: 3, 例: 4"
"Bad Example, Bad Precedent";"あくれい";"僕の両親は、今後の寝る時間に悪例を残すことになるからって、絶対に夜更かしさせてくれないんだ。";"My parents never let me stay up late because they believed it would set a bad precedent for future bedtimes.";"None";"悪例";"悪: 3, 例: 4"
"Prayer, A Prayer";"きねん";"そのコンサートは、東日本大震災の復興祈念のためのものでした。";"That concert was held for the purpose of praying for the recovery from the Great East Japan Earthquake.";"None";"祈念";"祈: 9, 念: 4"
"Prayer, A Prayer";"きねん";"沖縄では、平和祈念公園と、ひめゆり平和祈念資料館に行きました。";"In Okinawa, I visited the Peace Memorial Park and the Himeyuri Peace Memorial Museum.";"None";"祈念";"祈: 9, 念: 4"
"Prayer, A Prayer";"きねん";"皆さまにとって、新年が幸多い年となりますよう、社員一同ご祈念申し上げます。";"We, the employees, would like to offer our prayers for a prosperous and happy new year for all of you.";"None";"祈念";"祈: 9, 念: 4"
"Prayer, A Prayer";"きねん";"トーフグの益々の発展と繁栄を祈念して、乾杯！";"Let’s pray for more and more growth and prosperity for Tofugu, cheers!";"None";"祈念";"祈: 9, 念: 4"
"Prayer, A Prayer";"きねん";"明日は原爆犠牲者慰霊平和祈念式典に出席します。";"I'll attend the peace memorial service for atomic-bomb victims tomorrow.";"None";"祈念";"祈: 9, 念: 4"
"Mountain Stream, Swamp";"さわ";"とても美しい沢ですね。";"Isn’t this a really beautiful mountain stream?";"None";"沢";"沢: 9"
"Mountain Stream, Swamp";"さわ";"この沢には沢ガニなど、たくさんの生き物が住んでいます。";"Many creatures such as freshwater crabs live in this stream.";"None";"沢";"沢: 9"
"Mountain Stream, Swamp";"さわ";"沢の音を聞きながら歩くのが好きなんです。";"I like walking while listening to the sound of the stream.";"None";"沢";"沢: 9"
"Mountain Stream, Swamp";"さわ";"フロリダのとある沢のほとりで、巨大なワニを見ました。";"I saw a gigantic alligator near a swamp in Florida.";"None";"沢";"沢: 9"
"Time Limit, Period";"じげん";"時限爆弾がきちんと引き出しの中にしまわれていることを確認した。";"I made sure that the time bomb was neatly placed in the drawer.";"None";"時限";"時: 2, 限: 5"
"Exposition, Exhibition, Fair";"はくらんかい";"この博覧会は無料で入場できます。";"You can enter this exhibition free of charge.";"None";"博覧会";"博: 4, 覧: 6, 会: 2"
"Emigrant, Immigrant, Migrant";"いじゅうしゃ";"国外移住者になるのは容易なことではない。";"It’s not easy to be an international immigrant.";"None";"移住者";"移: 5, 住: 3, 者: 3"
"To Be Stuffed, To Be Crammed Full, To Be Stuck";"つまる";"魚の骨が喉に詰まっちゃった。";"I got a fish bone stuck in my throat.";"N2";"詰まる";"詰: 9"
"Allure, Charm, Attraction, Appeal";"みりょく";"私はゴルフの魅力に取り憑かれてしまいました。";"I became obsessed with the charm of golf.";"N3";"魅力";"魅: 9, 力: 1"
"To Line Something Up, To Put Something In Order";"ならべる";"ボーリングのピンを並べるのにどうしてそんなに時間がかかったんですか。";"Why did it take you so long to line up the bowling pins?";"N5";"並べる";"並: 6"
"Scarce, Meager";"とぼしい";"日本語能力だけじゃなく、対人能力も乏しいんです。";"Not only are my Japanese abilities lacking, but my personal abilities are too.";"N1";"乏しい";"乏: 9"
"Lack, Scarcity, Deficiency";"けつぼう";"ビタミンDが欠乏しているかどうかはどうすれば分かりますか。";"How can I know if I’m deficient in Vitamin D?";"N1";"欠乏";"欠: 4, 乏: 9"
"To Chill Something, To Chill";"ひやす";"指をドアで挟んじゃって、今氷で冷やしてるの。";"My finger got caught in the door and I’m chilling it with ice now.";"N2";"冷やす";"冷: 4"
"Marriage";"けっこん";"「シャーク、私がフグと結婚したってどうして分かったの？」 「ただ人づてに聞いただけさ。」";"""Shark, how did you know that I got married to Fugu?"" ""You know. I just heard it through the grapevine.""";"N5";"結婚";"結: 4, 婚: 9"
"Marriage Proposal";"きゅうこん";"ホタルは、どの求婚者にも、結婚の条件として無理難題を突き付けた。";"Hotaru sets impossible tasks for any man who wants to marry her.";"None";"求婚";"求: 4, 婚: 9"
"Honeymoon";"しんこんりょこう";"新婚旅行でハワイに行くのが待ちきれないよ〜。円高の恩恵にあやかって、お金使い果たすぐらい買い物しまくるつもり！笑";"I can’t wait to go to Hawaii for my honeymoon! Yen is high, so I’m going to spend all my money on shopping. Haha.";"None";"新婚旅行";"新: 2, 婚: 9, 旅: 3, 行: 2"
"Unmarried";"みこん";"結局、未婚の女性ではないという真実を彼に話すはめになりました。";"In the end I told him the truth that I’m not an unmarried woman.";"N1";"未婚";"未: 4, 婚: 9"
"To Prolong Something, To Lengthen Something, To Extend Something";"のばす";"この写真を延ばして壁に飾りたいなと思ってるんです。";"I want to enlarge this photo to put it on the wall.";"N2";"延ばす";"延: 6"
"Prolonging, Extension";"えんちょう";"もうカラオケ店に入ってから何回延長しているんだろうね？";"I wonder how many times we’ve prolonged our time since we came to the karaoke bar?";"N2";"延長";"延: 6, 長: 2"
"Prolonging, Extension";"えんちょう";"この話の延長でもう一つ新しい話が書けないかな？";"Can you write another story as an extension of this one?";"N2";"延長";"延: 6, 長: 2"
"Prolonging, Extension";"えんちょう";"延長コードがごちゃごちゃになっているのが許せないの。";"I can’t stand how extensions cords get tangled up.";"N2";"延長";"延: 6, 長: 2"
