"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"Extremity, Furthest Point, End, Outskirts, Outer Limits, Edge, Miss, Failure";"はずれ";"男は町外れの小さな家に住んでいた。";"The man lived in a small house on the outskirts of town.";"None";"外れ";"外: 2"
"Extremity, Furthest Point, End, Outskirts, Outer Limits, Edge, Miss, Failure";"はずれ";"王女は、季節外れのドレスを着ていた。";"The princess was wearing a dress that doesn't suit the season.";"None";"外れ";"外: 2"
"Extremity, Furthest Point, End, Outskirts, Outer Limits, Edge, Miss, Failure";"はずれ";"「当たりが出ると、もう一本」とかかれたアイスを買ったが、全部外れだった。";"I bought some ice cream that had, ""If you hit, you get another"" written on them, but they were all misses.";"None";"外れ";"外: 2"
"Government Business, Official Business";"こうよう";"今、公用でパリにきています。";"I’m coming to Paris now on official business.";"N1";"公用";"公: 2, 用: 2"
"Government Business, Official Business";"こうよう";"これは公用のアカウントです。";"This is an official account.";"N1";"公用";"公: 2, 用: 2"
"Government Business, Official Business";"こうよう";"オレたちがいただくのは公用の金だ。";"The money we’re gonna get is public money.";"N1";"公用";"公: 2, 用: 2"
"Effect, Action, Operation";"さよう";"アルコールの作用を教えてください。";"Teach me about the effects of alcohol.";"N1";"作用";"作: 2, 用: 2"
"Effect, Action, Operation";"さよう";"今日、学校で、作用・反作用のほうそくを学んだ。";"I learned Newton's third law of motion at school today.";"N1";"作用";"作: 2, 用: 2"
"Effect, Action, Operation";"さよう";"このケーキの味がする薬には、副作用はありませんか？";"Does this cake-flavored medicine have any side effects?";"N1";"作用";"作: 2, 用: 2"
"Government-Run Company, Government-Owned Company";"こうしゃ";"確か、山田さんは公社で働いています。";"If I remember correctly, Yamada-san works for a government-run company.";"None";"公社";"公: 2, 社: 2"
"Government-Run Company, Government-Owned Company";"こうしゃ";"えっ、あそこって国営公社なの？";"What, is that a government-owned company?";"None";"公社";"公: 2, 社: 2"
"Government-Run Company, Government-Owned Company";"こうしゃ";"この旅客鉄道は、南アフリカ旅客鉄道公社が運営しています。";"These passenger rail services were operated by the Passenger Rail Agency of South Africa.";"None";"公社";"公: 2, 社: 2"
"Not Yet, Still";"いまだ";"未だ二百才まで生きた人げんはいない。";"There’s still never been a person who’s lived to two hundred years old.";"N1";"未だ";"未: 4"
"Not Yet, Still";"いまだ";"未だに、時さボケがあるんですよね。";"I’m still jet-lagged. ";"N1";"未だ";"未: 4"
"Not Yet, Still";"いまだ";"仕事が決まったのかどうかは未だに分からないんだ。";"I’m not sure if I got the job yet.";"N1";"未だ";"未: 4"
"To Be Involved, To Be Related, To Be Connected";"かかわる";"ビエトがやばいそしきと係わっているのは知っているけど、そのはんざいに係わっていたとはやっぱり思えないんだよな。";"I know Viet is involved with a dangerous organization, but I still don't think that he has anything to do with the crime.";"N2";"係わる";"係: 3"
"To Be Involved, To Be Related, To Be Connected";"かかわる";"あのれん中には係わらない方がいいよ。";"Don't get involved with people like that.";"N2";"係わる";"係: 3"
"To Be Involved, To Be Related, To Be Connected";"かかわる";"もし毒抜きをせずに河豚を食べたら、命に係わりますよ。";"If you ate blowfish without taking the poison out, it would be a matter of life and death.";"N2";"係わる";"係: 3"
"Unsold Merchandise, Remaining Stock";"ざんぴん";"残品はこちらで引き取るので、こちらのお店で販売させてもらえませんか。  ";"You can return any unsold stock, so would you let us sell our products here?";"None";"残品";"残: 4, 品: 3"
"Unsold Merchandise, Remaining Stock";"ざんぴん";"今夜店を出発する前に残品を数えておきましょう。";"Before we leave the store tonight, let’s go ahead and count the remaining stock.";"None";"残品";"残: 4, 品: 3"
"Unsold Merchandise, Remaining Stock";"ざんぴん";"残品は半額で処分しました。";"We sold the remaining goods at half price.";"None";"残品";"残: 4, 品: 3"
