"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"To Be Disconnected, To Come Off, To Be Off";"はずれる";"あみ戸が外れてしまいました。";"The sliding door came off.";"N2";"外れる";"外: 2"
"To Be Disconnected, To Come Off, To Be Off";"はずれる";"ケガをして、スタメンから外れることになっちゃったんだ。";"I got injured, so I'm going to be taken off the starting players.";"N2";"外れる";"外: 2"
"To Be Disconnected, To Come Off, To Be Off";"はずれる";"プラグが外れたので、Mr.ロボットは「ありがとう」と言えなくなった。";"Since the plug was disconnected, Mr. Robot was no longer able to say, ""thank you,"" anymore.";"N2";"外れる";"外: 2"
"Amount Sold, Sales, Proceeds";"うりあげ";"だんだん売り上げがへってきた。";"Sales gradually decreased.";"None";"売り上げ";"売: 2, 上: 1"
"Amount Sold, Sales, Proceeds";"うりあげ";"アメリカ人人気はいゆうが主えんしたハリウッドえいがのDVDは、日本だけで売り上げが八百万まいになった。";"The DVD of the Hollywood movie in which a popular American actor played the main character has sold eight million copies in Japan alone.";"None";"売り上げ";"売: 2, 上: 1"
"Amount Sold, Sales, Proceeds";"うりあげ";"あの性差別の広告のせいで、売り上げが激減した。";"Sales have decreased rapidly because of that sexist advertisement.";"None";"売り上げ";"売: 2, 上: 1"
"Sold Out, Out Of Stock";"うりきれ";"そのざっしは、売り切れです。";"That magazine is sold out.";"N2";"売り切れ";"売: 2, 切: 2"
"Sold Out, Out Of Stock";"うりきれ";"トーフグのこうえん会のチケットが売り切れとしってなきそうになった。";"I almost cried when I learned that tickets for the Tofugu lecture were sold out.";"N2";"売り切れ";"売: 2, 切: 2"
"Sold Out, Out Of Stock";"うりきれ";"ジョーンズさん、本当に申し訳ないのですが、動物クッキーは売り切れてしまいました。";"I’m terribly sorry Mr. Jones, but we are all sold out of animal crackers.";"N2";"売り切れ";"売: 2, 切: 2"
"Seller, Vendor";"うりて";"あの売り手にだまされました。";"I was cheated by that vendor.";"None";"売り手";"売: 2, 手: 1"
"Seller, Vendor";"うりて";"空ぜんの売り手市場ですね。";"This's the hottest seller's market ever.";"None";"売り手";"売: 2, 手: 1"
"Seller, Vendor";"うりて";"その家の売り手は、「近所の人が本当にひどいやつなので、家を手放すことにしたんだ」と、私に話してくれました。";"The guy selling that house told me he’s selling it because his neighbor is a real jerk.";"None";"売り手";"売: 2, 手: 1"
"Assistant, Helper, Aide";"じょしゅ";"ワトソンはかせは、シャーロック・ホームズの助手ではなく、あくまで友人です。";"Dr. Watson isn’t just Sherlock Holmes’ assistant, he’s his friend till the end.";"N3";"助手";"助: 3, 手: 1"
"Assistant, Helper, Aide";"じょしゅ";"わたしの助手は、年末に肉ばなれになりました。";"My aide got a torn muscle at the end of the year.";"N3";"助手";"助: 3, 手: 1"
"Assistant, Helper, Aide";"じょしゅ";"もし私が今首になった助手の助手だとしたら、それってつまり私も首になっちゃったってこと？";"If I’m the assistant to an assistant who was just fired, does that mean that I’m fired too?";"N3";"助手";"助: 3, 手: 1"
"Laboratory, Lab, Study Room, Professor's Office, Teacher's Office";"けんきゅうしつ";"わたしは子どもの時、研究室ではたらくのがゆめでした。";"When I was a child, my dream was to work at a laboratory.";"N4";"研究室";"研: 3, 究: 3, 室: 2"
"Laboratory, Lab, Study Room, Professor's Office, Teacher's Office";"けんきゅうしつ";"くどいようですが、山田さんのかつらについて話すのは、この研究室ではタブーですからね。";"Excuse me for repeating myself, but talking about Mr.Yamada's wig is a big no no in this study room, okay?";"N4";"研究室";"研: 3, 究: 3, 室: 2"
"Laboratory, Lab, Study Room, Professor's Office, Teacher's Office";"けんきゅうしつ";"蛙の解剖を始めるので、皆さんには研究室に移動して頂きたいと思います。";"I’d like everyone to move into the laboratory now so that we can start dissecting the frogs.";"N4";"研究室";"研: 3, 究: 3, 室: 2"
"Case, Circumstance, Situation";"ばあい";"タオルや石けん、おかし、おそばなどをもっていく場合が多いです。";"In many circumstances, we take things like towels, soap, snacks, or noodles.";"N4";"場合";"場: 2, 合: 2"
"Case, Circumstance, Situation";"ばあい";"出来るかぎり早くEメールにへんしんできるよう努めておりますが、すぐにへんしんできない場合もありますのでごりゅういください。";"We try our best to respond your emails as soon as possible, but please note that we may not be able to respond immediately.";"N4";"場合";"場: 2, 合: 2"
"Case, Circumstance, Situation";"ばあい";"その場合には警察を呼んだ方がいいと思う。";"In this case, I think it would be good to call the police.";"N4";"場合";"場: 2, 合: 2"
"Admission, Entrance, Imprisonment, Internment";"にゅうしょ";"私の母は、来年から、かいごしせつに入所することになりました。";"My mother will be admitted to a nursing home next year.";"None";"入所";"入: 1, 所: 3"
"Admission, Entrance, Imprisonment, Internment";"にゅうしょ";"こちらに入所年月日を記入してください。";"Please write down your admission date here.";"None";"入所";"入: 1, 所: 3"
"Admission, Entrance, Imprisonment, Internment";"にゅうしょ";"俺の兄貴は今入所中だ。";"My yakuza boss is in jail now.";"None";"入所";"入: 1, 所: 3"
"To Begin Something, To Start Something, To Begin , To Start ";"はじめる";"何から始めるのがいいのか、分かりません。";"I don’t know what to start from.";"N4";"始める";"始: 3"
"To Begin Something, To Start Something, To Begin , To Start ";"はじめる";"むすめさん、四年生になったら、何かならい事を始めるの？";"Will your daughter start any extracurriculars when she reaches fourth grade?";"N4";"始める";"始: 3"
"To Begin Something, To Start Something, To Begin , To Start ";"はじめる";"生地をフライパンに流し始める前に、材料を全て混ぜる必要があります。";"You need to mix all the ingredients together before you can start transferring the batter to the pans.";"N4";"始める";"始: 3"
"To Begin, Something Begins, To Start, Something Starts";"はじまる";"そのえいがは何時から始まりますか。";"What time does the movie start?";"N5";"始まる";"始: 3"
"To Begin, Something Begins, To Start, Something Starts";"はじまる";"アメリカと中国のしれつなけいざいせんそうが始まりました。";"A fierce economic war between America and China has begun.";"N5";"始まる";"始: 3"
"To Begin, Something Begins, To Start, Something Starts";"はじまる";"銃声が、大食いパイコンテストの始まりの合図となります。";"The sound of the rifle means the pie eating contest has started.";"N5";"始まる";"始: 3"
"In The Beginning, To Begin With, To Start With";"はじめに";"このもんだいでは、始めにしつもんをきいてください。";"For this problem, please begin by listening to the question.";"N2";"始めに";"始: 3"
"In The Beginning, To Begin With, To Start With";"はじめに";"始めにカナエがたん生日ケーキにしょうゆをこぼしてしまったこと以外は、コウイチのサプライズバースデーパーティーは大せいこうでした。";"Koichi's surprise birthday party went really well except that Kanae spilled soy sauce on his birthday cake in the beginning.";"N2";"始めに";"始: 3"
"In The Beginning, To Begin With, To Start With";"はじめに";"聖書の一番始めには何が書かれているの？";"What are the first words at the beginning of the Bible?";"N2";"始めに";"始: 3"
"Real Thing, Real Deal, Genuine Article";"ほんもの";"さい近のCGは、パッと見たかんじ本物にしか見えないのがマジですごいと思う。";"Current CG is so realistic that it feels real at a first glance, and I think that’s really cool.";"N3";"本物";"本: 1, 物: 3"
"Real Thing, Real Deal, Genuine Article";"ほんもの";"トーフグが本物そっくりのにせ札を作っているという黒いうわさをききました。";"I heard a dark rumor that Tofugu is making fake bills that look exactly like the real thing.";"N3";"本物";"本: 1, 物: 3"
"Real Thing, Real Deal, Genuine Article";"ほんもの";"小さいころ、父さんはいつも僕に「本物の男は誠実でいつづける」って言ってたけど、結局浮気をして、両親は離婚することになったんだ。";"When I was a kid, my dad always told me that real men stay faithful, but he ended up cheating on my mom and now they’re going to get a divorce.";"N3";"本物";"本: 1, 物: 3"
"Bitter Tasting, Bitter";"にがい";"このベーコン、なんか苦い。";"This bacon is a little bitter.";"N4";"苦い";"苦: 3"
"Bitter Tasting, Bitter";"にがい";"このくすりはすっごく苦いから、気をつけてね。";"This medicine is very bitter, so brace yourself!";"N4";"苦い";"苦: 3"
"Bitter Tasting, Bitter";"にがい";"カラメルは、焦がさないように気を付けてください。でないと、苦い味になってしまいます。";"Be careful not to let the caramel burn or it will taste bitter.";"N4";"苦い";"苦: 3"
"To Give Someone A Ride, To Place Something On, To Load Something";"のせる";"子どもを助手せきに乗せるのはきけんです。";"It’s dangerous to let children ride in the passenger's seat.";"N3";"乗せる";"乗: 3"
"To Give Someone A Ride, To Place Something On, To Load Something";"のせる";"机に足を乗せるのは行ぎがわるいですよ。";"Putting your feet on a table is bad manners.";"N3";"乗せる";"乗: 3"
"To Give Someone A Ride, To Place Something On, To Load Something";"のせる";"男は、女性の自転車が完璧に壊れているのを見て、「町まで車に乗せてあげるよ」と言った。";"The man saw that the woman’s bicycle was completely destroyed so he offered to give her a ride back to town.";"N3";"乗せる";"乗: 3"
"Vehicle";"のりもの";"乗り物の中でタバコをすわないでください。";"Please don’t smoke in vehicles.";"N4";"乗り物";"乗: 3, 物: 3"
"Vehicle";"のりもの";"乗り物よいしちゃった。";"I got motion sickness.";"N4";"乗り物";"乗: 3, 物: 3"
"Vehicle";"のりもの";"「あの乗り物、どうだった？」「ああ、怖かったさ！小便チビっちゃうくらい怖かったぜ。」";"""How was the ride?"" ""Oh, it was terrifying! I spent the whole time trying not to pee my pants.""";"N4";"乗り物";"乗: 3, 物: 3"
"To Wait";"まつ";"きっ茶店で、五時間待っていましたが、かれは来ませんでした。";"I was waiting for five hours at the cafe, but he didn’t come.";"N5";"待つ";"待: 3"
"To Wait";"まつ";"スタバで待ってますね。";"I'll be waiting for you at Starbucks. ";"N5";"待つ";"待: 3"
"To Wait";"まつ";"ちょっと待って！財布を家に忘れたかも。";"Wait! I might have forgotten my wallet at home.";"N5";"待つ";"待: 3"
"To Make Someone Wait, To Keep Someone Waiting";"またせる";"先ぱいを待たせるのはよくないよ。";"It’s not okay to keep your senpai waiting.";"None";"待たせる";"待: 3"
"To Make Someone Wait, To Keep Someone Waiting";"またせる";"一体何時まで待たせるつもりですか？";"How much longer are you going to make me wait?";"None";"待たせる";"待: 3"
"To Make Someone Wait, To Keep Someone Waiting";"またせる";"お待たせしてすみません。いや〜バスにえらく長いこと待たされましてね。";"Sorry for making you wait so long. I had to wait for the bus for such a long time.";"None";"待たせる";"待: 3"
"Rich Person, Rich, Wealthy";"かねもち";"かれ、お金持ちなんだけど…";"He’s rich though…";"N3";"金持ち";"金: 1, 持: 3"
"Rich Person, Rich, Wealthy";"かねもち";"ちょうお金持ちとけっこんしたい。";"I want to marry someone who is filthy rich.";"N3";"金持ち";"金: 1, 持: 3"
"Rich Person, Rich, Wealthy";"かねもち";"若い頃、お金を稼ぐために、近所のお金持ちの人たちの使い走りをしていました。";"I used to run small errands for a wealthy neighbor of mine to make money when I was young.";"N3";"金持ち";"金: 1, 持: 3"
"Feeling";"きもち";"あなたの気持ちはよく分かります。";"I know exactly how you feel.";"N4";"気持ち";"気: 1, 持: 3"
"Feeling";"きもち";"気持ちがわるくてはきそうです。";"I feel sick, like I'm going to throw up. ";"N4";"気持ち";"気: 1, 持: 3"
"Feeling";"きもち";"これ、つまらないものですが。ささやかな感謝の気持ちです。どうぞ、開けてみてください。";"Here’s a little something for you. This is just a small token of my appreciation. Go ahead, open it.";"N4";"気持ち";"気: 1, 持: 3"
"To Broadcast Something";"ほうそうする";"このドラマが放送されるのは、久しぶりです。";"It’s been a while since this drama was broadcast.";"None";"放送する";"放: 3, 送: 3"
"To Broadcast Something";"ほうそうする";"そのし合のさい放送なら、今日五時からNHKで放送される予定ですよ。";"A rebroadcast of the game is scheduled to run on NHK at 5pm today.";"None";"放送する";"放: 3, 送: 3"
"To Broadcast Something";"ほうそうする";"コウイチ社長は今晩テレビで重大な決定を放送することになっている。";"President Koichi’s important announcement will be broadcast on television tonight.";"None";"放送する";"放: 3, 送: 3"
"To Wake Up, To Get Up, To Occur";"おきる";"父は、毎朝六時に起きます。";"My father gets up at six o’clock every morning.";"N5";"起きる";"起: 3"
"To Wake Up, To Get Up, To Occur";"おきる";"いつも朝起きるのめっちゃ早いですね。まだ四時ですよ。";"You're always up so early! It's still 4 o'clock, you know.";"N5";"起きる";"起: 3"
"To Wake Up, To Get Up, To Occur";"おきる";"三段腹を無くすために、毎朝起きたらすぐに100回腹筋をします。";"I do 100 sit-ups every morning right after waking up to get rid of my three pack.";"N5";"起きる";"起: 3"
"At Once, Immediately, Without Delay, Right Away, Right Now";"さっそく";"早速使わせていただきました。";"I used it immediately.";"N2";"早速";"早: 1, 速: 3"
"At Once, Immediately, Without Delay, Right Away, Right Now";"さっそく";"早速のごへんしん、ありがとうございます。";"Thank you for your immediate response.";"N2";"早速";"早: 1, 速: 3"
"At Once, Immediately, Without Delay, Right Away, Right Now";"さっそく";"私はその茄子を早速彼に送ります。";"I will send the eggplants to him at once.";"N2";"早速";"早: 1, 速: 3"
"Speed";"そくど";"インターネットの速度がおそすぎてイライラしています。";"The internet speeds are too slow and it’s pissing me off.";"N3";"速度";"速: 3, 度: 3"
"Speed";"そくど";"もう少し速度をおとして走行してください。";"Please drive a little bit slower.";"N3";"速度";"速: 3, 度: 3"
"Speed";"そくど";"ドアを開けたら、冬の突風が物凄い速度で吹きこんできた。";"When I opened the door, a wintry gust rushed in with great speed and force.";"N3";"速度";"速: 3, 度: 3"
"To Distribute, To Pass Out, To Deliver";"くばる";"バレンタインデーには、友だちに、手作りのおかしを配るんです。";"For Valentine’s Day we’ll distribute handmade sweets.";"N2";"配る";"配: 3"
"To Distribute, To Pass Out, To Deliver";"くばる";"しんぶんを配るバイトって月にいくらくらいかせげるのかな。";"I wonder how much I could earn per month from the newspaper delivering job.";"N2";"配る";"配: 3"
"To Distribute, To Pass Out, To Deliver";"くばる";"このパーティーマジでつまんない。道でティシュでも配ってる方がマシだよ。";"This party blows. Even passing out pocket tissues on the street would be better.";"N2";"配る";"配: 3"
"Sake, Alcohol";"おさけ";"わたしはパーティーでお酒を飲んだ。";"I drank alcohol at the party.";"N5";"お酒";"酒: 3"
"Sake, Alcohol";"おさけ";"今、そのお酒はシーズンではないので、申しわけありませんがご用いできません。";"That sake is out of season now, so I'm afraid it's not available.";"N5";"お酒";"酒: 3"
"Sake, Alcohol";"おさけ";"「割り勘にしよう。」「いや。今日は俺の奢りだよ。しかも、俺はお酒をたくさん飲んだけど、お前は一滴も飲まなかったじゃないか。」";"""Let’s split the bill."" ""No, it’s on me this time. I drank a lot of alcohol, but you didn’t drink anything""";"N5";"お酒";"酒: 3"
"Japanese Style Alcohol, Japanese Alcohol, Sake";"にほんしゅ, にっぽんしゅ";"日本酒はあまりすきではないんです。";"I don’t really like Japanese alcohol.";"None";"日本酒";"日: 1, 本: 1, 酒: 3"
"Japanese Style Alcohol, Japanese Alcohol, Sake";"にほんしゅ, にっぽんしゅ";"その日本酒のボトルから、値札を外してもらってもいいですか？";"Could you remove the price tag from the Japanese sake bottle for me?";"None";"日本酒";"日: 1, 本: 1, 酒: 3"
"Japanese Style Alcohol, Japanese Alcohol, Sake";"にほんしゅ, にっぽんしゅ";"「何飲んでるの？」「日本酒だよ。一口飲んでみる？」「それじゃ、お言葉に甘えて一口もらってみようかな。」";"""What are you drinking?"" ""Japanese rice wine. Would you like a sip?"" ""Well, I suppose I’ll give it a try.""";"None";"日本酒";"日: 1, 本: 1, 酒: 3"
"Hospital";"びょういん";"病院までタクシーで、千円ぐらいです。";"It takes about a thousand yen to get to the hospital by taxi.";"N5";"病院";"病: 3, 院: 3"
