"Meaning";"Reading";Context Sentence JP;Context Sentence EN;"JLPT (by voc lvl)";"Item";"Joyo Grade"
"Heartfelt Desire, Heartfelt Wish";"しんがん";"私はその神社で心願成就の御札を買いました。";"I bought a charm at the shrine to help fulfill my heart’s desires.";"None";"心願";"心: 2, 願: 4"
"Heartfelt Desire, Heartfelt Wish";"しんがん";"このおまもりは、どのような心願も成就させる魔法のおまもりです。";"This amulet has the magical power to fulfill any heartfelt wish.";"None";"心願";"心: 2, 願: 4"
"Heartfelt Desire, Heartfelt Wish";"しんがん";"このお寺では、毎日護摩を焚いて、人々の心願を祈願しています。";"At this temple, they perform daily fire rituals called ""goma"" to pray for the fulfillment of people's heartfelt desires.";"None";"心願";"心: 2, 願: 4"
"Public Notice, Public Announcement";"こうこく";"トーフグの決算公告、もう見ましたか。";"Did you already see Tofugu's public, financial announcement?";"None";"公告";"公: 2, 告: 4"
"Public Notice, Public Announcement";"こうこく";"トーフグは、日本政府の官報にコウイチについての重大な公告をのせることにしました。";"Tofugu decided to put up an important public notice about Koichi in an official telegram.";"None";"公告";"公: 2, 告: 4"
"Public Notice, Public Announcement";"こうこく";"日本には、電子公告規則という法律がありますが、あなたの国はどうですか？";"There is a law in Japan called the Electronic Public Notice Regulation. Do you have anything like that in your country?";"None";"公告";"公: 2, 告: 4"
"Women's Rights, Woman's Rights";"じょけん";"遠い昔、日本は女権社会でした。";"Long ago, Japanese women had more rights than men did.";"None";"女権";"女: 1, 権: 6"
"Women's Rights, Woman's Rights";"じょけん";"ツイッターのアカウント名にエビの絵文字がついている人は、フェミニスト（女権主義者）です。";"People whose Twitter account names have a shrimp emoji are feminists.";"None";"女権";"女: 1, 権: 6"
"Women's Rights, Woman's Rights";"じょけん";"西洋と違い、日本では歴史上、大きな女権拡張運動は起きていない。";"Unlike the West, Japan does not have a history of strong women’s rights movements.";"None";"女権";"女: 1, 権: 6"
"Value, Price";"あたい";"その価には同意できないな。タダ同然じゃないか。";"I can’t agree with this price. It's like a freebie.";"None";"価";"価: 5"
"Value, Price";"あたい";"いやいや、これ、五百万円の価が付いている時計だよ？";"No, no, no, this is a watch worth 5 million yen, okay?";"None";"価";"価: 5"
